time = Wed Apr 15 13:47:18 2020, get_places_query() starts
depth = 2, time = 1586951241.6305778, waiting for token validation...
depth = 2, time = 1586951241.7270787, waiting for token validation...
depth = 2, time = 1586951241.9927804, waiting for token validation...
time = Wed Apr 15 13:47:23 2020, get_places_query() ends

time = Wed Apr 15 13:47:34 2020, get_places_query() starts
time = Wed Apr 15 13:47:36 2020, get_places_query() ends

time = Wed Apr 15 13:57:40 2020, get_places_query() starts
time = Wed Apr 15 13:57:42 2020, get_places_query() ends

time = Wed Apr 15 16:35:25 2020, get_places_query() starts
time = Wed Apr 15 16:35:27 2020, get_places_query() ends

time = Wed Apr 15 17:00:27 2020, get_places_query() starts
time = Wed Apr 15 17:07:47 2020, get_places_query() starts
time = Wed Apr 15 17:07:56 2020, get_places_query() starts
time = Wed Apr 15 17:10:09 2020, get_places_query() starts
time = Wed Apr 15 17:10:27 2020, get_places_query() starts
time = Wed Apr 15 17:11:42 2020, get_places_query() starts
time = Wed Apr 15 17:12:07 2020, get_places_query() starts
time = Wed Apr 15 17:13:15 2020, get_places_query() starts
time = Wed Apr 15 17:14:01 2020, get_places_query() ends

time = Wed Apr 15 17:25:04 2020, get_places_query() starts
time = Wed Apr 15 17:25:07 2020, get_places_query() ends

time = Wed Apr 15 17:26:51 2020, get_places_query() starts
time = Wed Apr 15 17:26:53 2020, get_places_query() ends

time = Wed Apr 15 17:34:29 2020, get_places_query() starts
time = Wed Apr 15 17:38:11 2020, get_places_query() starts
time = Wed Apr 15 17:39:43 2020, get_places_query() starts
time = Wed Apr 15 17:42:21 2020, get_places_query() starts
time = Wed Apr 15 17:43:25 2020, get_places_query() starts
time = Wed Apr 15 17:44:23 2020, get_places_query() starts
time = Wed Apr 15 17:52:15 2020, get_places_query() starts
time = Wed Apr 15 17:56:18 2020, get_places_query() starts
time = Wed Apr 15 17:57:59 2020, get_places_query() starts
time = Wed Apr 15 17:58:01 2020, get_places_query() ends

time = Wed Apr 15 17:58:07 2020, get_places_query() starts
time = Wed Apr 15 17:58:07 2020, get_places_query() ends

time = Wed Apr 15 17:58:29 2020, get_places_query() starts
time = Wed Apr 15 17:58:30 2020, get_places_query() ends

time = Wed Apr 15 17:58:43 2020, get_places_query() starts
time = Wed Apr 15 17:58:43 2020, get_places_query() ends

time = Wed Apr 15 17:59:01 2020, get_places_query() starts
time = Wed Apr 15 17:59:04 2020, get_places_query() ends

time = Wed Apr 15 17:59:26 2020, get_places_query() starts
time = Wed Apr 15 17:59:27 2020, get_places_query() ends

