

time = Mon Apr 13 21:26:25 2020, get_places_query() starts
depth = 2, time = 1586805987.8077714, waiting for token validation...
depth = 2, time = 1586805987.9146557, waiting for token validation...
depth = 2, time = 1586805988.078115, waiting for token validation...
depth = 2, time = 1586805988.1835604, waiting for token validation...
depth = 2, time = 1586805988.3803775, waiting for token validation...
depth = 2, time = 1586805988.4844484, waiting for token validation...
depth = 2, time = 1586805988.5858557, waiting for token validation...
depth = 2, time = 1586805988.7028377, waiting for token validation...
depth = 2, time = 1586805988.8226836, waiting for token validation...
depth = 2, time = 1586805988.920282, waiting for token validation...
depth = 2, time = 1586805989.0335474, waiting for token validation...
depth = 3, time = 1586805990.924005, waiting for token validation...
depth = 3, time = 1586805991.034922, waiting for token validation...
depth = 3, time = 1586805991.135395, waiting for token validation...
depth = 3, time = 1586805991.2420769, waiting for token validation...
depth = 3, time = 1586805991.3493524, waiting for token validation...
depth = 3, time = 1586805991.4582553, waiting for token validation...
depth = 3, time = 1586805991.5595927, waiting for token validation...
depth = 3, time = 1586805991.6769652, waiting for token validation...
depth = 3, time = 1586805991.7770252, waiting for token validation...
depth = 3, time = 1586805991.9064577, waiting for token validation...
depth = 3, time = 1586805992.0159225, waiting for token validation...
time = Mon Apr 13 21:26:34 2020, get_places_query() ends

time = Wed Apr 15 10:50:55 2020, get_places_query() starts
depth = 2, time = 1586940657.726351, waiting for token validation...
depth = 2, time = 1586940657.926053, waiting for token validation...
depth = 2, time = 1586940658.0139036, waiting for token validation...
depth = 2, time = 1586940658.1089315, waiting for token validation...
depth = 2, time = 1586940658.2022662, waiting for token validation...
depth = 2, time = 1586940658.2932506, waiting for token validation...
depth = 2, time = 1586940658.3786266, waiting for token validation...
depth = 2, time = 1586940658.5120344, waiting for token validation...
depth = 2, time = 1586940658.6124725, waiting for token validation...
depth = 2, time = 1586940658.7006428, waiting for token validation...
depth = 2, time = 1586940658.7839773, waiting for token validation...
depth = 2, time = 1586940658.8874147, waiting for token validation...
depth = 2, time = 1586940658.9598742, waiting for token validation...
depth = 3, time = 1586940660.732149, waiting for token validation...
depth = 3, time = 1586940660.8348184, waiting for token validation...
depth = 3, time = 1586940660.9103763, waiting for token validation...
depth = 3, time = 1586940661.1251218, waiting for token validation...
depth = 3, time = 1586940661.2190208, waiting for token validation...
depth = 3, time = 1586940661.3415933, waiting for token validation...
depth = 3, time = 1586940661.4446092, waiting for token validation...
depth = 3, time = 1586940661.550006, waiting for token validation...
depth = 3, time = 1586940661.6589503, waiting for token validation...
depth = 3, time = 1586940661.743136, waiting for token validation...
depth = 3, time = 1586940661.8439279, waiting for token validation...
depth = 3, time = 1586940661.915115, waiting for token validation...
depth = 3, time = 1586940661.996766, waiting for token validation...
time = Wed Apr 15 10:51:03 2020, get_places_query() ends

